Image Pair,RGB Score,Thermal Score
FLIR_07069,0.7,0.3
FLIR_07283,0.7,0.5
FLIR_00402,0.9,0.1
FLIR_07532,0.7,0.8
FLIR_04768,0.8,0.8
FLIR_07280,0.8,0.6
FLIR_02772,0.8,0.5
FLIR_00251,1.0,0.8
FLIR_02100,0.9,0.8
FLIR_07216,0.8,0.8
FLIR_00870,0.6,0.9
FLIR_06286,0.8,0.8
FLIR_02189,0.5,0.3
FLIR_07426,0.8,0.3
FLIR_07768,0.8,0.8
FLIR_07765,0.7,0.8
FLIR_04072,0.9,0.8
FLIR_02494,0.6,0.9
FLIR_04314,0.9,0.8
FLIR_05732,0.5,0.8
FLIR_05332,0.1,0.7
FLIR_07104,0.9,0.9
FLIR_07292,0.8,0.8
FLIR_05442,0.8,0.8
FLIR_07956,0.8,0.8
FLIR_07687,0.8,0.8
FLIR_03092,0.7,0.3
FLIR_04437,0.6,0.3
FLIR_07323,0.7,0.4
FLIR_03989,0.8,0.3
FLIR_03046,0.8,0.8
FLIR_01843,0.7,0.8
FLIR_01809,0.9,0.3
FLIR_07998,0.7,0.8
FLIR_02571,0.7,0.6
FLIR_07855,0.8,0.8
FLIR_01879,0.9,0.3
FLIR_00097,0.4,0.3
FLIR_00643,0.8,0.3
FLIR_08163,0.8,0.8
